title,description,pub_date,link,query
"비트코인, 3.4억 달러 유출 멈추고 '구조적 리셋' 돌입",유가가 90달러를 돌파하며 인플레이션 우려가 다시 고개를 들자 연방준비제도(Fed)의 금리 인하 기대감이 약화되었고 이는 위험 자산 전반의 투자 심리를 위축시키는 결과를 초래했다. 가상자산 시장은 이러한 거시...,"Sun, 08 Mar 2026 22:32:00 +0900",http://coinreaders.com/222179,금리
"음성군, 2024년 예산집행률 82.5% 도내 최상위권",도내 11개 시·군 평균 이자수입 56억원 대비 8억원 이상의 수입을 올린 것은 안정적인 세수 확보의 필요성을 인식하고 지속적으로 금리가 하락하는 어려운 환경 속에서도 적극적으로 자금을 운용한 결과이다. 군...,"Sun, 08 Mar 2026 22:20:00 +0900",https://www.ccdailynews.com/news/articleView.html?idxno=2401555,금리
[기획] 성실한 납세가 도시를 움직인다…군포시 '유공납세자' 제도와 지...,"최근 경기 침체와 고금리, 물가 상승이 이어지면서 기업과 시민 모두 재정적 부담을 체감하는 상황에서도... 군포시 금고를 맡고 있는 NH농협은행에서는 예금 및 대출 금리 우대 혜택을 제공한다. 이는 납세자의 금융 부담을...","Sun, 08 Mar 2026 22:10:00 +0900",http://www.newstown.co.kr/news/articleView.html?idxno=696218,금리
증시 급등락에 닷새간 마통 1.3조 급증,초저금리 환경을 토대로 '영끌'(영혼까지 끌어모아 주택 구입)·빚투가 한창 급증하던 시기였다. 이후 5대 은행의 마통 잔액은 2021년 4월 말(52조8천956억원) 정점을 찍은 뒤 금리 상승과 가계대출 규제 등의 여파로...,"Sun, 08 Mar 2026 21:54:00 +0900",https://www.idaegu.co.kr/news/articleView.html?idxno=540965,금리
"미래에셋證, CD금리 플러스 ETN' 이벤트",미래에셋증권이 '미래에셋 CD금리 플러스 상장지수증권(ETN)' 매수 이벤트를 실시한다. 미래에셋증권 제공 미래에셋증권이 5월 20일까지 '미래에셋 CD금리 플러스 상장지수증권(ETN)' 매수 이벤트를 진행한다. 미래에셋...,"Sun, 08 Mar 2026 21:54:00 +0900",https://www.idaegu.co.kr/news/articleView.html?idxno=540967,금리
"현대차, 렌터카 상생 특별 프로모션","할부 금리를 24/36/48 개월 기준 기존 대비 0.3~0.8%포인트 인하하고, 할부금 잔액의 경우 계약 종료 시점에 차량 반납, 유예금 일시 납부 통한 상환, 대출 연장 등 다양한 선택지를 제공한다. 해당 상품은 현대인증중고차...","Sun, 08 Mar 2026 21:42:00 +0900",https://www.ulsanpress.net/news/articleView.html?idxno=570461,금리
[미리보는 이데일리 신문]고유가에 치솟는 물가…S의 발톱 드러냈다,"관세·유가·금리 등 대외 변수에 발목” - 무보·코트라, 中企 수출지원 ‘원팀’ 협력 - 담합 사건... 예금 금리 ‘꿈틀’ -“웹3 신사업 기술 준비 완료 스테이블코인 컨소시엄 추진” △산업 -LG, 금융 AI에이전트로 B2B...","Sun, 08 Mar 2026 21:29:00 +0900",http://www.edaily.co.kr/news/newspath.asp?newsid=02056566645381352,금리
'시가 1% 보유세' 부담에 강남 급매 '쑥'⋯ 해외는 세율 더 높다,김인만 부동산경제연구소장은  금리 부담이 여전한 상태에서 세제 변화라는 대외 변수가 더해지자... 만큼 금리 부담과 세금 변화에 민감하게 반응하는 특징이 있어 시장 전망이 불확실해질 경우 매수자는 관망에...,"Sun, 08 Mar 2026 21:11:00 +0900",http://www.inews24.com/view/1946285,금리
[좋은 시를 찾아서] 계절의 잔고,"대출금리와 월세는 또 어떻게 감당하나 자꾸 기울어지는 지구의 어깨 몸살이 났다 열이 내리지 않는다... 올라가는/대출금리와 월세는 또 어떻게 감당하나  오염되는 지구환경에 대한 어떤 반성을, 친숙한 비유를 통해...","Sun, 08 Mar 2026 21:04:00 +0900",https://www.idaegu.co.kr/news/articleView.html?idxno=540903,금리
[패트롤] 구리시-김포시-남양주시-양평군-하남시,"경기도 식품진흥기금을 재원으로 하는 이번 사업은 시중 금리보다 낮은 연 1% 고정금리를 적용하며, 매년 시행돼 영업주의 큰 호응을 얻고 있다. 융자 지원은 시설개선자금과 운영자금으로 구분된다. 주요 지원 한도는...","Sun, 08 Mar 2026 20:46:00 +0900",https://www.ekn.kr/web/view.php?key=20260308027036094,금리
"KB국민은행, 새희망홀씨 대출 금리 1%p 인하","대출 금리를 1%p 인하했다고 8일 밝혔다. 이번 금리 인하는 ‘국민과 함께 더 나은 대한민국을 만들어 가겠다’는 취지를 담은 ‘KB국민행복 희망 프로젝트’의 일환으로, 포용금융 실천을 통해 금융취약계층의 이자...","Sun, 08 Mar 2026 20:44:00 +0900",https://www.fetv.co.kr/news/article.html?no=214520,금리
"NH농협은행 경남본부, 중동 분쟁 피해기업 즉각 지원","경남본부는 무엇보다도 유가 및 환율 급등락, 글로벌 금리 변동성 확대 등 대외 변수로 인해 단기 유동성... 특히 경영 애로 기업에 대해서는 최대 2.0%의 특별 우대금리를 적용함으로써 실제 체감 가능한 금리부담 완화를...","Sun, 08 Mar 2026 20:34:00 +0900",https://www.gnnews.co.kr/news/articleView.html?idxno=631989,금리
쿠웨이트 “불가항력 조항 발동”…중동 사태에 ‘석유 감산’ 돌입,최지욱 한국투자증권 연구원은 “전쟁이 3개월 이상 지속되고 유가가 계속 상승할 경우 한은 기준금리 인상 가능성이 열릴 것”이라고 말했다. 시장에선 고유가가 지속하면 환율이 1500원선까지 치솟을 수 있다는...,"Sun, 08 Mar 2026 20:28:00 +0900",https://www.khan.co.kr/article/202603082028005,금리
"[김능구·차재원의 정국진단 3월①]  트럼프, 이란 공격으로 자가당착 ...","글로벌 공급망 차질, 인플레이션 자극, 금리 인하, 경기 둔화와 같은 현상이 나타나고 특히 에너지 수입 의존도가 높은 국가들한테는 직격탄이 될 것 이라고 우려했다. 차 교수는  실제 우리나라 증시가 7.2% 폭락했고...","Sun, 08 Mar 2026 20:12:00 +0900",https://www.polinews.co.kr/news/articleView.html?idxno=724762,금리
"LH, 유동성 부족 의혹 해명  구조화채권 급전조달 아니다","앞서 일부 매체는 LH가 재정 압박 속에서 유동성 부족을 이유로 고금리 채권을 발행하고 있으며, 구조화... 고금리 채권 발행이라는 지적에 대해서도 반박했다. LH는 해당 채권이 이자율스왑(IRS) 파생계약이 결합된...","Sun, 08 Mar 2026 20:12:00 +0900",https://www.gnnews.co.kr/news/articleView.html?idxno=632000,금리
이란 사태로 주가 급락하자 개미들 ‘빚투’ 급증세,"당시는 코로나19 팬데믹(세계적 대유행) 시기 초저금리 환경에서 영끌(영혼까지 끌어모아 주택 구입)... 최근 시장금리 상승으로 예금금리가 오르는 추세임에도, 증시로의 자금 이탈을 막기엔 역부족이다. 또 다른...","Sun, 08 Mar 2026 20:10:00 +0900",https://www.segye.com/newsView/20260308509930?OutUrl=naver,금리
"걸프만 덮친 미사일 공포, 안전자산 은(銀) 가격은 어디까지 치솟을까?","은식기, 산업용 수요 등 주요 부문에서의 손실을 대부분 상쇄할 것이라는 분석이다. 여기에 약세를 보이는 미국 달러화와 향후 예상되는 미국 금리 인하 가능성 역시 은 가격의 상승세에 강력한 힘을 실어주고 있다.","Sun, 08 Mar 2026 19:48:00 +0900",http://coinreaders.com/222156,금리
휘발유값 리터당 2000원 눈앞…구윤철 “폭리요금 단호하게 대응”,"물가가 가파르게 오르면 한국은행이 기준금리를 인상해 물가 안정에 나설 수 있고, 이 경우 회복세를 보이던 경기가 위축되고 주식시장도 타격이 불가피하다. 특히 관심은 1997년 유가 자유화 이후 약 30년간 사문화된...","Sun, 08 Mar 2026 19:45:00 +0900",https://www.mk.co.kr/article/11982215,금리
연 20% '충성론' '병장론' 활개…현역병 대부업 대출 242억,고금리 대출을 내어준 것으로 드러났다. 8일 금융감독원이 등록 상위 30개 대부업체의 군인 대출 취급... 대출 한도는 1000만∼1500만원 수준이며 연 이자율은 17.9∼20% 수준으로 법정 최고금리에 육박했다. 경제적...,"Sun, 08 Mar 2026 19:38:00 +0900",https://www.g-enews.com/view.php?ud=202603081931147228bbed569d68_1,금리
한국 증시는 비정상 … 거품 붕괴-대폭락 오는가? [이양승 칼럼 : 마이클...,"금리 상승 압력, 기업 수익성 악화, 투자 심리 위축 이 동시에 나타날 수 있기 때문이다. ■ 2008 금융위기 예측한 전문가의 경고 이러한 상황에서 글로벌 투자자들의 경고 도 등장했다. 2008년 금융위기를 예측했던 투자자로...","Sun, 08 Mar 2026 19:28:00 +0900",https://www.newdaily.co.kr/site/data/html/2026/03/08/2026030800096.html,금리
이양수 “5대 은행 주담대 대환대출 취급액 1년 새 75.5% 급감”,기존 대출을 더 낮은 금리 상품으로 갈아탈 수 있는 대환대출은 금융당국이 2023년 서민 이자 부담 경감을 위해 도입한 제도다. 금융위원회는 출시 후 29만명이 평균 1.53%포인트 낮은 금리로 갈아탔다며 성과를 홍보한...,"Sun, 08 Mar 2026 19:21:00 +0900",https://www.kwnews.co.kr/page/view/2026030819170812345,금리
[한 손 뉴스] 복무 중 ‘병장론’으로 빚투…현역병 대부업 대출 242억,이런 대출은 건당 1000만~1500만 원 규모이며 연 이자율은 17.9~20% 수준으로 법정 최고금리에 육박하는 것으로 나타났다. 최근 현역장병의 월급이 병장 기준 약 150만 원까지 증가하면서 이들의 타깃이 된 것으로...,"Sun, 08 Mar 2026 19:20:00 +0900",http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0200&key=20260309.22002002276,금리
"KB국민은행, 새희망홀씨 대출 금리 1%p 인하… 포용금융 실천 앞장",ㅣKB국민은행 KB국민은행은 지난 6일 금융취약계층의 이자 부담을 완화하기 위해 서민금융 대표 상품인 'KB 새희망홀씨II'의 신규 대출 금리를 1%p 인하했다고 밝혔다. 이번 금리 인하는 '국민과 함께 더 나은...,"Sun, 08 Mar 2026 19:18:00 +0900",http://www.biztribune.co.kr/news/articleView.html?idxno=350062,금리
"“바겐세일 기회 아닌가요”…이란발 급락장, 닷새만에 마통 1.3조 폭증",닷새간의 증가폭만 놓고 보면 코로나19 당시 초저금리를 바탕으로 빚투가 절정에 달했던 2020년 11월... 최근 시장금리 상승 추세 속에서도 은행권 예금에서 막대한 자금이 이탈해 증시로 향하는 머니무브 흐름이...,"Sun, 08 Mar 2026 19:05:00 +0900",https://www.mk.co.kr/article/11982208,금리
‘원유동맥’ 막혀 운송·보험료 폭등… 수출업계 ‘충격파’ 확산 [美...,아울러 불안한 중동 정세가 국제유가 폭등 및 인플레이션을 자극할 경우 시장금리 변동성이 커져 보험사의 채권 자산 평가손익에 타격을 줄 수 있다. 이처럼 해상 운임과 보험료 상승 요인이 겹치면서 중동 시장을...,"Sun, 08 Mar 2026 19:05:00 +0900",https://www.segye.com/newsView/20260308510073?OutUrl=naver,금리
"[금융로드] KB국민은행, 새희망홀씨 금리 1%p 인하… 금융취약계층 부담...",대출 금리를 1%포인트 인하했다. 이번 조치는 '국민과 함께 더 나은 대한민국을 만들어 가겠다'는 취지의... KB국민은행은 지난 6일부터 신규로 취급되는 'KB 새희망홀씨II'의 대출 금리를 기존 연 5.47~6.47%(내부신용등급...,"Sun, 08 Mar 2026 18:56:00 +0900",http://www.newsroad.co.kr/news/articleView.html?idxno=55635,금리
"KB국민은행, ‘새희망홀씨II’ 금리 1%p 인하...서민금융 지원 확대",‘새희망홀씨II’ 신규 대출 금리 4.47~5.47%로 인하 성실 상환 시 최대 2%p 추가 감면  KB국민은행이 금융취약계층의 이자 부담 완화를 위해 서민금융 대표 상품인 ‘새희망홀씨II’ 대출 금리를 인하했다. KB국민은행은...,"Sun, 08 Mar 2026 18:54:00 +0900",https://www.youthdaily.co.kr/news/article.html?no=214922,금리
"이란 사태에 ‘빚투’, ‘영끌’ 급증…닷새간 마통 1.3조 늘었다",당시에는 코로나19 이후 초저금리 환경 속에서 ‘영끌’과 ‘빚투’가 급증하던 시기였다. 마이너스통장 잔액은 2021년 4월 말 52조8956억 원으로 정점을 찍은 뒤 금리 상승과 가계대출 규제 영향으로 감소해 2023년...,"Sun, 08 Mar 2026 18:41:00 +0900",https://www.joongang.co.kr/article/25410043,금리
4년 만에 ‘휘발유 2000원’ 시대 오나···“불가항력”에 석유제품 판...,최지욱 한국투자증권 연구원은 “전쟁이 3개월 이상 지속되고 유가가 계속 상승할 경우 한은 기준금리 인상 가능성이 열릴 것”이라고 말했다. 시장에선 고유가 지속 땐 환율이 1500원선까지 치솟을 수 있다는 전망도...,"Sun, 08 Mar 2026 18:33:00 +0900",https://www.khan.co.kr/article/202603081833011,금리
"금리 1%대 대학생 생활비 대출, 주식 '종잣돈'으로…'대출 상한제' 도입...",낮은 금리·사용처 별도 증빙 절차 없음 등 악용 청년층 부채 위험 커질 가능성 있어 대출 연체액 2021년... 7% 고정 금리의 생활비 대출을 지원하고 있다. 3~4%대 시중 금리에 비해 절반 수준이다. 재학생은 직전 학기 12학점...,"Sun, 08 Mar 2026 18:30:00 +0900",https://www.asiatoday.co.kr/view.php?key=20260308010002045,금리
10년물 금리 3.1%로 하락 전망…“반도체 빼면 성장동력 약해 낙관 금물...,특히 찬드레시 제인 BNP파리바 이머징마켓 금리·외환 전략 이사는 시장의 통념을 뛰어넘는 분석을... 6%대인 국고채 10년물 금리가 연말에는 3.1~3.2%까지 하락(채권 가격 상승)할 것으로 내다봤다. 레오 테이 ING은행 APAC...,"Sun, 08 Mar 2026 18:25:00 +0900",https://www.sedaily.com/article/20016630?ref=naver,금리
서울 전세 구하기 더 어려워졌다…매물 쏙 들어가고 가격 천정부지 [치...,"금리 인상, 세금 부담 등으로 보증금보다 안정적 월세수익을 원하는 임대인과 정부 대출규제 등으로 전세자금 마련이 어려워진 임차인이 많아지면서 전세보다 월세 선호도가 높아지고 있다는 것이다. 다주택자가...","Sun, 08 Mar 2026 18:21:00 +0900",http://www.fnnews.com/news/202603081819534436,금리
"과천 215만원, 성남 168만원…'고액월세' 경기·인천 확산 [치솟는 수도...",이현석 건국대 교수는  금리 인상과 수요·공급 측면에서 봤을 때 월세 가격은 불안정할 가능성이 상당히 높다 며  유동성이 커지고 서울의 주택 공급은 많이 늘지 않은 것도 영향을 미치고 있다 고 말했다....,"Sun, 08 Mar 2026 18:21:00 +0900",http://www.fnnews.com/news/202603081819516900,금리
중동전쟁發 '大인플레이션' 우려…부담 커진 중앙은행 [한상춘의 국제경...,1차 오일쇼크 당시 아서 번스 미국 중앙은행(Fed) 의장이 리처드 닉슨 대통령 재선을 위해 기준금리를 내려... 최근처럼 국가 채무가 많은 여건에서는 GI 우려에 따라 국채 금리까지 급등해 재정 위기가 발생할 수 있다고...,"Sun, 08 Mar 2026 18:17:00 +0900",https://www.hankyung.com/article/2026030866081,금리
성장판 닫힌 국민소득…12년째 3만달러대 갇힐 듯,정부는 미국과 이란 전쟁으로 유가·환율·금리가 동반 상승하는 ‘3고(高) 쇼크’를 저지하기 위해 분주한 한 주를 보낼 전망이다. 한국은행은 10일 ‘2025년 4분기 및 연간 국민소득 잠정치’를 발표한다. 2024년 1인당...,"Sun, 08 Mar 2026 18:17:00 +0900",https://www.hankyung.com/article/2026030866071,금리
"KB국민은행, 새희망홀씨 대출금리 1%p 인하","대출 금리를 1%p 인하했다고 8일 밝혔다. 이번 금리 인하는 '국민과 함께 더 나은 대한민국을 만들어 가겠다'는 취지를 담은 'KB국민행복 희망 프로젝트'의 일환으로, 포용금융 실천을 통해 금융취약계층의 이자...","Sun, 08 Mar 2026 18:16:00 +0900",http://www.whitepaper.co.kr/news/articleView.html?idxno=259147,금리
"뉴욕·상하이 증시, 고유가 지속 땐 美증시 하방 압력",18~19일 열리는 미국 중앙은행(Fed)의 연방공개시장위원회(FOMC) 회의를 앞두고 발표되는 만큼 기준금리... 엘렌 젠트너 모건스탠리웰스매니지먼트 수석 경제 전략가는 “노동 시장 약화는 금리 인하 요인이지만 고유가...,"Sun, 08 Mar 2026 18:16:00 +0900",https://www.hankyung.com/article/2026030866091,금리
"환율·채권, 원·달러 환율 1500원 위협 가능성","지난주 서울 외환·채권시장에서 원·달러 환율과 국고채 금리가 미국과 이란 간 전쟁 여파로 일제히... 6일 서울 채권시장에서 국고채 3년 만기와 10년 만기 금리는 각각 연 3.227%, 연 3.616%로 마감했다. 1주일 전보다...","Sun, 08 Mar 2026 18:16:00 +0900",https://www.hankyung.com/article/2026030866101,금리
"[사설] 중동발 신3고, ‘경제·민생 추경’도 열어 둘 때다","한국 경제는 중동발 ‘신3고’(고물가·고환율·고금리)에 풍전등화다. 파죽지세로 오르던 코스피도 5000선으로 내려앉고, 환율은 달러당 1500원을 넘보고 있다. 이젠 기준금리 인하도 물 건너갔다. 무엇보다 유가가...","Sun, 08 Mar 2026 18:10:00 +0900",https://www.khan.co.kr/article/202603081810001,금리
이란發 유탄 맞은 동남아·인도… 증시·환율 '검은 일주일',태국 중앙은행(BOT)이 기준금리를 1.25%에서 1.00%로 인하하자 바트화 약세가 이어졌다. 카시콘 증권의 수라차이 프라못 부사장은  지정학적 긴장과 금리 정책 변화가 맞물리며 태국 금융시장이 극도의 변동성을 겪었다 며...,"Sun, 08 Mar 2026 18:09:00 +0900",http://www.fnnews.com/news/202603081808136730,금리
'코스닥 액티브 ETF' 잇따라 선보여,은행권에서는 고금리를 앞세운 적금과 파킹통장이 새로 출시됐다. 우리은행은 최고 연 10% 금리를 제공하는 ‘우리 빙고 적금’을 내놨다. 이 상품은 12개월 만기 자유적립식 상품으로 월 최대 납입 한도는...,"Sun, 08 Mar 2026 18:09:00 +0900",https://www.hankyung.com/article/2026030866271,금리
주식에 80억 투자했는데 …120억 번 40대女 대표의 고민,"달러 자산은 환율 상승 시 자연스러운 헤지 효과를 기대할 수 있고, 국채 ETF는 금리 하락 국면에서 채권 가격 상승에 따른 자본차익을 노릴 수 있어서다. 여기에 확정금리형 연금보험을 활용해 장기 현금흐름을 확보하고...","Sun, 08 Mar 2026 18:08:00 +0900",https://www.hankyung.com/article/2026030865611,금리
5대은행 MMF 23조 육박…  반도체 중심 분산투자해야,"PB들은 최근 자산가 고객들 사이에서 중동 사태에 따른 미국 기준금리 방향성과 인공지능(AI) 반도체를... 유가가 올라 인플레이션을 유발하면 금리인하를 저해해 경기 둔화로 이어질 수 있고, 환율 상승은 외국인...","Sun, 08 Mar 2026 18:07:00 +0900",http://www.fnnews.com/news/202603081806094419,금리
"글로벌 IB들도 K국채 열공…‘큰손’ 패밀리오피스까지 러브콜[韓, WGBI ...",인도·인도네시아·필리핀을 제외하면 한국 10년물 금리가 아시아에서 가장 높다는 점도 매력 요인으로 꼽힌다. 지금까지의 유입은 시작에 불과하다는 평가가 나오는 배경이다. 다만 국채로 유입된 자금이 공사채와 우량...,"Sun, 08 Mar 2026 18:07:00 +0900",https://www.sedaily.com/article/20016615?ref=naver,금리
전쟁공포 엄습…대출이자 또 오르나,올해 들어 은행권의 예대금리차가 확대되면서 가계·기업 차주의 이자 부담이 커질 수 있다는 분석이... 8일 금융권에 따르면 5대 은행(KB국민·신한·하나·우리·NH농협)의 가계 예대금리차 단순 평균(정책금융 제외)은...,"Sun, 08 Mar 2026 18:07:00 +0900",http://www.fnnews.com/news/202603081806105702,금리
중동리스크에 널뛰는 채권금리,중동 리스크에 채권금리 변동성이 확대되고 있다. 미국과 이란의 전쟁이 장기화 조짐으로 유가상승은 불가피할 것으로 보고 있어서다. 이에 채권금리의 추가 상승 가능성도 열려 있는 상태다. 8일 금융투자협회...,"Sun, 08 Mar 2026 18:05:00 +0900",http://www.fnnews.com/news/202603081804071227,금리
트럼프 ‘국가 사이버 전략’에 암호화폐 보안 명시…‘양자 위협’ 대...,"‘형사 조사’ 가능성까지 거론됐지만, 연준은 견조한 성장과 여전히 높은 인플레이션을 이유로 금리를 다시 동결했다. 파월 의장은 조사 문제에 대해 언급을 피하면서도, 통화정책의 정치화는 연준의 신뢰를 훼손할...","Sun, 08 Mar 2026 18:04:00 +0900",https://www.tokenpost.kr/news/policy/337140,금리
밸류업·주도주 골고루 담아…안정적 월배당에 초과수익도 [이런 펀드 ...,김 본부장은  삼성전자와 SK하이닉스를 비롯 기업 밸류업 프로그램이 지속되면서 금융·증권주와 자사주 소각 수혜를 받는 지주사들도 긍정적으로 보고 있다 라며  국내 증시는 금리 안정화와 주주 친화 정책이...,"Sun, 08 Mar 2026 18:03:00 +0900",http://www.fnnews.com/news/202603081802020928,금리
군 장병 대출 문제 심각…대부업체와의 신용 거래 급증,대출 시 적용되는 이자율은 17.9%에서 20%로 법정 최고금리에 근접한다. 장병들이 경제적으로 불안정한... 금융감독원 관계자는 군 장병들이 불법 사금융에 노출되지 않도록 주의해야 한다며 대부업 이용 시 고금리에...,"Sun, 08 Mar 2026 17:56:00 +0900",https://www.gokorea.kr/news/articleView.html?idxno=859807,금리
이란發 급락장에 '빚투'… 사흘새 마통 1.3조 폭증,닷새간의 증가폭만 놓고 보면 코로나19 당시 초저금리를 바탕으로 빚투가 절정에 달했던 2020년 11월... 최근 시장금리 상승 추세 속에서도 은행권 예금에서 막대한 자금이 이탈해 증시로 향하는 머니무브 흐름이...,"Sun, 08 Mar 2026 17:55:00 +0900",https://www.mk.co.kr/article/11982154,금리
KB국민은행 포용금융 확대…새희망홀씨 대출 1%p 인하,KB국민은행이 금융 취약계층의 이자 부담을 완화하기 위해 서민금융 대표 상품인 새희망홀씨의 신규 대출 금리를 1%포인트 인하했다. 8일 국민은행은 지난 6일부터 신규 취급되는 'KB 새희망홀씨Ⅱ' 상품 대출 금리를...,"Sun, 08 Mar 2026 17:55:00 +0900",https://www.mk.co.kr/article/11982156,금리
“신용점수 대신 성장성”…예약건수·환불 평가에 반영,사업체로 쌓아올린 평판 및 업력과 같은 비정형 정보가 반영되면서 여신 한도와 금리가 개선되고 우량 차주로 전환되는 사례도 적지 않을 것으로 전망된다. 실제 카카오뱅크는 금융·비금융 정보를 결합한 소상공인 대안...,"Sun, 08 Mar 2026 17:53:00 +0900",https://www.sedaily.com/article/20016598?ref=naver,금리
암호화폐(코인) 리플 선물 거래가 하루 만에 1200% 급증한 이유,"이로 인해 2026년 상반기 연방준비제도(Federal Reserve)의 금리 인하 가능성이 다시 제기됐다. 암호화폐 투자자들은 주중 내내 주식이나 금 등 다른 자산 투자자들에 비해 낙관적인 태도를 보였고, 4일엔 1....","Sun, 08 Mar 2026 17:52:00 +0900",https://www.wikitree.co.kr/articles/1123040,금리
"[단독]네이버 평점 높은 식당, 대출이자 싸진다",금융 당국이 네이버 평점을 잘 받은 식당이나 스마트스토어 입점 업체에 대출금리를 낮춰주고 한도를... 네이버의 비금융 데이터 이용이 활성화하면 업체의 성장성에 대한 판단이 가능해져 대출금리나 한도에서 유리한...,"Sun, 08 Mar 2026 17:51:00 +0900",https://www.sedaily.com/article/20016595?ref=naver,금리
104兆 몰려온다…체급 달라진 K국채,금융시장의 불안정성이 확대되는 상황에서 국고채 10년물 금리를 최대 0.2%포인트 낮추고 원·달러 환율도 5%가량 내릴 수 있는 뭉칫돈이다. WGBI를 관리하는 채권위원회 위원인 켕시앙응 스테이트스트리트IM...,"Sun, 08 Mar 2026 17:49:00 +0900",https://www.sedaily.com/article/20016593?ref=naver,금리
